CustomerID,Age,Gender,Country,Avgorder_value,Total_orders,Last_purchase,Is_fraudlent,Preferred_category,Email_open_rate,Customer_since,Loyalty_score,churn_risk,Revenue,Loyalty_type,Loyalty_bucket,Loyalty_or_fraud,Is_weekend,Year,Risk_level,Loyalty_level,Country_Loyalty,Customer_tag,Revenue_loyal
CUST_9340,43,Female,Germany,10.66,13,346 days,0,Electronics,97.9,2025-03-23,19,0.14,138.58,Fraud,Low,Low|Loyal,False,2025,Low Risk,Low Rate,Germany_Low Rate,Germany|Electronics| Fraud:0,Low Loyal
CUST_7241,35,Male,UK,17.27,4,68 days,0,Sports,96.3,2023-08-22,87,0.21,69.08,High Loyal,High,High|Loyal,False,2023,Low Risk,High Rate,UK_High Rate,UK|Sports| Fraud:0,Low Loyal
CUST_5494,56,Female,Canada,17.32,6,39 days,0,Home,42.4,2022-06-13,70,0.07,103.92,Moderate Loyal,Medium,Medium|Loyal,False,2022,Low Risk,Moderate,Canada_Moderate,Canada|Home| Fraud:0,Low Loyal
CUST_4291,72,Female,France,17.39,11,295 days,0,Home,99.4,2024-12-23,89,0.29,191.29000000000002,High Loyal,High,High|Loyal,False,2024,Low Risk,High Rate,France_High Rate,France|Home| Fraud:0,Low Loyal
CUST_7809,63,Female,France,17.67,8,248 days,0,Beauty,55.1,2020-12-03,74,0.16,141.36,Moderate Loyal,High,High|Loyal,False,2020,Low Risk,Moderate,France_Moderate,France|Beauty| Fraud:0,Low Loyal
CUST_5941,24,Female,Australia,17.73,9,252 days,0,Beauty,20.5,2023-06-22,63,0.37,159.57,Moderate Loyal,Medium,Medium|Loyal,False,2023,Medium Risk,Moderate,Australia_Moderate,Australia|Beauty| Fraud:0,Low Loyal
CUST_3079,56,Male,China,17.84,11,131 days,0,Home,15.9,2020-08-17,82,0.07,196.24,High Loyal,High,High|Loyal,False,2020,Low Risk,High Rate,China_High Rate,China|Home| Fraud:0,Low Loyal
CUST_2838,33,Female,Germany,17.86,9,267 days,0,Home,54.8,2021-11-14,4,0.24,160.74,Fraud,Low,Low|Loyal,False,2021,Low Risk,Low Rate,Germany_Low Rate,Germany|Home| Fraud:0,Low Loyal
CUST_4667,69,Male,Germany,17.92,9,205 days,0,Beauty,12.1,2022-03-29,36,0.25,161.28000000000003,Low Loyal,Low,Low|Loyal,False,2022,Low Risk,Low Rate,Germany_Low Rate,Germany|Beauty| Fraud:0,Low Loyal
CUST_8419,40,Male,Germany,17.94,4,233 days,0,Electronics,47.4,2021-06-23,60,0.1,71.76,Moderate Loyal,Medium,Medium|Loyal,False,2021,Low Risk,Moderate,Germany_Moderate,Germany|Electronics| Fraud:0,Low Loyal
CUST_5154,19,Male,Australia,17.95,9,356 days,0,Home,50.95,2023-11-23,95,0.38,161.54999999999998,High Loyal,High,High|Loyal,False,2023,Medium Risk,High Rate,Australia_High Rate,Australia|Home| Fraud:0,Low Loyal
CUST_4598,77,Female,USA,18.03,13,190 days,0,Sports,15.5,2023-01-07,8,0.6,234.39000000000001,Fraud,Low,Low|Loyal,False,2023,Medium Risk,Low Rate,USA_Low Rate,USA|Sports| Fraud:0,Low Loyal
CUST_6083,29,Male,India,18.07,7,152 days,0,Electronics,25.2,2022-07-20,8,0.43,126.49000000000001,Fraud,Low,Low|Loyal,False,2022,Medium Risk,Low Rate,India_Low Rate,India|Electronics| Fraud:0,Low Loyal
CUST_1948,20,Male,Australia,18.19,8,278 days,0,Home,79.3,2020-10-09,9,0.07,145.52,Fraud,Low,Low|Loyal,False,2020,Low Risk,Low Rate,Australia_Low Rate,Australia|Home| Fraud:0,Low Loyal
CUST_8687,72,Female,USA,18.31,10,262 days,0,Electronics,86.5,2022-08-05,69,0.17,183.1,Moderate Loyal,Medium,Medium|Loyal,False,2022,Low Risk,Moderate,USA_Moderate,USA|Electronics| Fraud:0,Low Loyal
CUST_8421,69,Female,Germany,18.35,9,205 days,0,Home,86.6,2024-03-21,56,0.19,165.15,Moderate Loyal,Medium,Medium|Loyal,False,2024,Low Risk,Moderate,Germany_Moderate,Germany|Home| Fraud:0,Low Loyal
CUST_1359,72,Other,Australia,18.38,12,29 days,0,Fashion,39.0,2023-11-28,50,0.12,220.56,Moderate Loyal,Medium,Medium|Loyal,False,2023,Low Risk,Moderate,Australia_Moderate,Australia|Fashion| Fraud:0,Low Loyal
CUST_7953,31,Female,China,18.61,6,196 days,0,Fashion,3.4,2021-08-09,7,0.09,111.66,Fraud,Low,Low|Loyal,False,2021,Low Risk,Low Rate,China_Low Rate,China|Fashion| Fraud:0,Low Loyal
CUST_6043,53,Female,Japan,18.69,12,284 days,0,Sports,73.7,2025-05-01,33,0.08,224.28000000000003,Low Loyal,Low,Low|Loyal,False,2025,Low Risk,Low Rate,Japan_Low Rate,Japan|Sports| Fraud:0,Low Loyal
CUST_2040,54,Female,China,18.73,11,55 days,0,Fashion,22.2,2024-03-01,85,0.1,206.03,High Loyal,High,High|Loyal,False,2024,Low Risk,High Rate,China_High Rate,China|Fashion| Fraud:0,Low Loyal
CUST_8330,33,Male,Japan,18.74,11,92 days,0,Home,57.8,2022-12-24,69,0.26,206.14,Moderate Loyal,Medium,Medium|Loyal,False,2022,Low Risk,Moderate,Japan_Moderate,Japan|Home| Fraud:0,Low Loyal
CUST_5968,68,Female,UK,18.84,9,303 days,0,Sports,8.5,2021-11-24,35,0.14,169.56,Low Loyal,Low,Low|Loyal,False,2021,Low Risk,Low Rate,UK_Low Rate,UK|Sports| Fraud:0,Low Loyal
CUST_5976,63,Female,USA,18.92,5,359 days,0,Fashion,68.7,2021-06-05,75,0.33,94.60000000000001,Moderate Loyal,High,High|Loyal,False,2021,Medium Risk,Moderate,USA_Moderate,USA|Fashion| Fraud:0,Low Loyal
CUST_6490,69,Female,Japan,18.95,6,62 days,0,Beauty,50.95,2023-02-17,17,0.66,113.69999999999999,Fraud,Low,Low|Loyal,False,2023,Medium Risk,Low Rate,Japan_Low Rate,Japan|Beauty| Fraud:0,Low Loyal
CUST_2629,73,Male,China,19.03,8,8 days,0,Sports,94.4,2023-07-08,73,0.09,152.24,Moderate Loyal,High,High|Loyal,False,2023,Low Risk,Moderate,China_Moderate,China|Sports| Fraud:0,Low Loyal
CUST_2012,51,Male,Germany,19.09,6,95 days,0,Home,11.3,2020-11-14,49,0.13,114.53999999999999,Low Loyal,Medium,Medium|Loyal,False,2020,Low Risk,Moderate,Germany_Moderate,Germany|Home| Fraud:0,Low Loyal
CUST_2734,40,Female,Australia,19.14,18,75 days,0,Beauty,20.4,2024-01-02,20,0.21,344.52,Low Loyal,Low,Low|Loyal,False,2024,Low Risk,Low Rate,Australia_Low Rate,Australia|Beauty| Fraud:0,Low Loyal
CUST_8755,77,Other,India,19.31,9,212 days,0,Beauty,75.2,2024-01-18,91,0.17,173.79,High Loyal,High,High|Loyal,False,2024,Low Risk,High Rate,India_High Rate,India|Beauty| Fraud:0,Low Loyal
CUST_2958,71,Male,USA,19.42,8,7 days,0,Sports,10.9,2024-01-22,48,0.21,155.36,Low Loyal,Medium,Medium|Loyal,False,2024,Low Risk,Moderate,USA_Moderate,USA|Sports| Fraud:0,Low Loyal
CUST_1097,61,Male,USA,19.43,10,224 days,0,Home,50.95,2024-07-31,82,0.3,194.3,High Loyal,High,High|Loyal,False,2024,Low Risk,High Rate,USA_High Rate,USA|Home| Fraud:0,Low Loyal
CUST_2907,56,Male,Germany,19.45,8,42 days,0,Sports,50.3,2024-01-13,83,0.29,155.6,High Loyal,High,High|Loyal,False,2024,Low Risk,High Rate,Germany_High Rate,Germany|Sports| Fraud:0,Low Loyal
CUST_8326,34,Female,Germany,19.63,12,303 days,0,Home,62.7,2022-11-30,3,0.31,235.56,Fraud,Low,Low|Loyal,False,2022,Medium Risk,Low Rate,Germany_Low Rate,Germany|Home| Fraud:0,Low Loyal
CUST_2015,51,Male,Australia,19.68,13,131 days,0,Home,44.5,2021-10-06,72,0.18,255.84,Moderate Loyal,High,High|Loyal,False,2021,Low Risk,Moderate,Australia_Moderate,Australia|Home| Fraud:0,Low Loyal
CUST_4099,69,Female,France,19.7,6,287 days,0,Fashion,24.6,2024-12-17,28,0.12,118.19999999999999,Low Loyal,Low,Low|Loyal,False,2024,Low Risk,Low Rate,France_Low Rate,France|Fashion| Fraud:0,Low Loyal
CUST_2895,59,Female,Australia,19.72,12,328 days,0,Fashion,48.3,2020-09-18,14,0.21,236.64,Fraud,Low,Low|Loyal,False,2020,Low Risk,Low Rate,Australia_Low Rate,Australia|Fashion| Fraud:0,Low Loyal
CUST_6119,53,Female,Germany,19.84,17,110 days,0,Electronics,54.9,2021-04-02,60,0.29,337.28,Moderate Loyal,Medium,Medium|Loyal,False,2021,Low Risk,Moderate,Germany_Moderate,Germany|Electronics| Fraud:0,Low Loyal
CUST_6876,42,Female,Japan,19.96,9,133 days,0,Electronics,51.0,2023-10-22,47,0.25,179.64000000000001,Low Loyal,Medium,Medium|Loyal,False,2023,Low Risk,Moderate,Japan_Moderate,Japan|Electronics| Fraud:0,Low Loyal
CUST_1171,33,Male,UK,20.04,17,236 days,0,Electronics,19.9,2020-09-10,69,0.2,340.68,Moderate Loyal,Medium,Medium|Loyal,False,2020,Low Risk,Moderate,UK_Moderate,UK|Electronics| Fraud:0,Low Loyal
CUST_9758,72,Female,Japan,20.16,10,4 days,0,Fashion,68.4,2023-06-22,4,0.39,201.6,Fraud,Low,Low|Loyal,False,2023,Medium Risk,Low Rate,Japan_Low Rate,Japan|Fashion| Fraud:0,Low Loyal
CUST_5198,66,Female,UK,20.24,11,323 days,0,Home,16.7,2025-06-04,47,0.43,222.64,Low Loyal,Medium,Medium|Loyal,False,2025,Medium Risk,Moderate,UK_Moderate,UK|Home| Fraud:0,Low Loyal
CUST_9089,28,Female,Canada,20.25,9,18 days,0,Fashion,68.6,2024-01-09,96,0.14,182.25,High Loyal,High,High|Loyal,False,2024,Low Risk,High Rate,Canada_High Rate,Canada|Fashion| Fraud:0,Low Loyal
CUST_4261,67,Female,Australia,20.4,8,263 days,0,Home,27.8,2022-04-28,79,0.57,163.2,Moderate Loyal,High,High|Loyal,False,2022,Medium Risk,Moderate,Australia_Moderate,Australia|Home| Fraud:0,Low Loyal
CUST_8904,21,Female,USA,20.54,17,126 days,0,Home,56.2,2021-09-11,17,0.23,349.18,Fraud,Low,Low|Loyal,False,2021,Low Risk,Low Rate,USA_Low Rate,USA|Home| Fraud:0,Low Loyal
CUST_2517,29,Male,France,20.58,9,8 days,0,Home,34.4,2022-10-08,15,0.23,185.21999999999997,Fraud,Low,Low|Loyal,False,2022,Low Risk,Low Rate,France_Low Rate,France|Home| Fraud:0,Low Loyal
CUST_5243,41,Male,France,20.63,6,17 days,0,Beauty,0.1,2024-01-20,34,0.09,123.78,Low Loyal,Low,Low|Loyal,False,2024,Low Risk,Low Rate,France_Low Rate,France|Beauty| Fraud:0,Low Loyal
CUST_4808,44,Male,France,20.64,12,41 days,0,Electronics,97.2,2020-08-16,3,0.48,247.68,Fraud,Low,Low|Loyal,False,2020,Medium Risk,Low Rate,France_Low Rate,France|Electronics| Fraud:0,Low Loyal
CUST_3618,19,Male,France,20.7,14,80 days,0,Beauty,71.7,2024-08-09,2,0.08,289.8,Fraud,Low,Low|Loyal,False,2024,Low Risk,Low Rate,France_Low Rate,France|Beauty| Fraud:0,Low Loyal
CUST_8984,30,Male,Brazil,20.96,6,155 days,0,Home,1.1,2021-07-02,85,0.3,125.76,High Loyal,High,High|Loyal,False,2021,Low Risk,High Rate,Brazil_High Rate,Brazil|Home| Fraud:0,Low Loyal
CUST_8082,21,Female,USA,21.03,10,126 days,0,Electronics,87.4,2023-03-03,71,0.26,210.3,Moderate Loyal,High,High|Loyal,False,2023,Low Risk,Moderate,USA_Moderate,USA|Electronics| Fraud:0,Low Loyal
CUST_8693,39,Other,Australia,21.14,11,28 days,0,Home,50.3,2023-05-30,67,0.17,232.54000000000002,Moderate Loyal,Medium,Medium|Loyal,False,2023,Low Risk,Moderate,Australia_Moderate,Australia|Home| Fraud:0,Low Loyal
CUST_2151,42,Female,China,21.18,14,158 days,0,Sports,97.3,2021-11-24,69,0.13,296.52,Moderate Loyal,Medium,Medium|Loyal,False,2021,Low Risk,Moderate,China_Moderate,China|Sports| Fraud:0,Low Loyal
CUST_6686,40,Male,Australia,21.19,4,297 days,0,Fashion,92.8,2024-12-16,6,0.64,84.76,Fraud,Low,Low|Loyal,False,2024,Medium Risk,Low Rate,Australia_Low Rate,Australia|Fashion| Fraud:0,Low Loyal
CUST_2809,40,Female,China,21.25,9,221 days,0,Home,96.7,2024-06-03,54,0.3,191.25,Moderate Loyal,Medium,Medium|Loyal,False,2024,Low Risk,Moderate,China_Moderate,China|Home| Fraud:0,Low Loyal
CUST_4637,23,Other,USA,21.28,8,5 days,0,Beauty,92.1,2025-04-12,41,0.32,170.24,Low Loyal,Medium,Medium|Loyal,False,2025,Medium Risk,Moderate,USA_Moderate,USA|Beauty| Fraud:0,Low Loyal
CUST_2333,57,Female,Canada,21.41,10,334 days,0,Home,98.3,2021-05-11,62,0.52,214.1,Moderate Loyal,Medium,Medium|Loyal,False,2021,Medium Risk,Moderate,Canada_Moderate,Canada|Home| Fraud:0,Low Loyal
CUST_1067,29,Male,Australia,21.58,5,42 days,0,Electronics,88.3,2021-01-22,77,0.13,107.89999999999999,Moderate Loyal,High,High|Loyal,False,2021,Low Risk,Moderate,Australia_Moderate,Australia|Electronics| Fraud:0,Low Loyal
CUST_3479,29,Female,France,21.6,6,109 days,0,Electronics,70.6,2022-05-19,26,0.63,129.60000000000002,Low Loyal,Low,Low|Loyal,False,2022,Medium Risk,Low Rate,France_Low Rate,France|Electronics| Fraud:0,Low Loyal
CUST_7477,22,Male,Japan,21.62,7,196 days,0,Beauty,65.0,2025-01-05,81,0.45,151.34,High Loyal,High,High|Loyal,False,2025,Medium Risk,High Rate,Japan_High Rate,Japan|Beauty| Fraud:0,Low Loyal
CUST_8880,61,Male,France,21.63,16,169 days,0,Home,35.1,2024-05-10,85,0.16,346.08,High Loyal,High,High|Loyal,False,2024,Low Risk,High Rate,France_High Rate,France|Home| Fraud:0,Low Loyal
CUST_7448,45,Female,Japan,21.66,8,221 days,0,Fashion,50.95,2024-05-18,78,0.14,173.28,Moderate Loyal,High,High|Loyal,False,2024,Low Risk,Moderate,Japan_Moderate,Japan|Fashion| Fraud:0,Low Loyal
CUST_6685,39,Male,China,21.67,13,287 days,0,Beauty,40.1,2023-01-21,62,0.08,281.71000000000004,Moderate Loyal,Medium,Medium|Loyal,False,2023,Low Risk,Moderate,China_Moderate,China|Beauty| Fraud:0,Low Loyal
CUST_1661,73,Female,Canada,21.75,12,104 days,0,Fashion,50.95,2021-11-07,85,0.29,261.0,High Loyal,High,High|Loyal,False,2021,Low Risk,High Rate,Canada_High Rate,Canada|Fashion| Fraud:0,Low Loyal
CUST_5544,34,Male,France,21.75,11,128 days,0,Beauty,36.0,2021-01-14,97,0.32,239.25,High Loyal,High,High|Loyal,False,2021,Medium Risk,High Rate,France_High Rate,France|Beauty| Fraud:0,Low Loyal
CUST_8561,66,Male,France,21.75,13,130 days,0,Electronics,22.1,2024-01-02,87,0.19,282.75,High Loyal,High,High|Loyal,False,2024,Low Risk,High Rate,France_High Rate,France|Electronics| Fraud:0,Low Loyal
CUST_4719,49,Female,UK,21.79,8,258 days,0,Sports,75.7,2020-08-21,51,0.52,174.32,Moderate Loyal,Medium,Medium|Loyal,False,2020,Medium Risk,Moderate,UK_Moderate,UK|Sports| Fraud:0,Low Loyal
CUST_6565,41,Female,Germany,21.82,7,157 days,0,Home,93.8,2021-11-16,47,0.63,152.74,Low Loyal,Medium,Medium|Loyal,False,2021,Medium Risk,Moderate,Germany_Moderate,Germany|Home| Fraud:0,Low Loyal
CUST_7401,66,Male,Japan,21.85,6,335 days,0,Home,91.4,2022-07-21,60,0.31,131.10000000000002,Moderate Loyal,Medium,Medium|Loyal,False,2022,Medium Risk,Moderate,Japan_Moderate,Japan|Home| Fraud:0,Low Loyal
CUST_8345,62,Female,France,22.15,6,68 days,0,Home,82.2,2022-05-14,72,0.26,132.89999999999998,Moderate Loyal,High,High|Loyal,False,2022,Low Risk,Moderate,France_Moderate,France|Home| Fraud:0,Low Loyal
CUST_3659,40,Female,UK,22.35,12,123 days,0,Electronics,0.9,2021-12-02,11,0.31,268.20000000000005,Fraud,Low,Low|Loyal,False,2021,Medium Risk,Low Rate,UK_Low Rate,UK|Electronics| Fraud:0,Low Loyal
CUST_2499,79,Male,Germany,22.39,9,328 days,0,Electronics,92.1,2021-07-08,63,0.17,201.51,Moderate Loyal,Medium,Medium|Loyal,False,2021,Low Risk,Moderate,Germany_Moderate,Germany|Electronics| Fraud:0,Low Loyal
CUST_4291,24,Male,Australia,22.53,11,57 days,0,Electronics,88.2,2025-03-06,54,0.04,247.83,Moderate Loyal,Medium,Medium|Loyal,False,2025,Low Risk,Moderate,Australia_Moderate,Australia|Electronics| Fraud:0,Low Loyal
CUST_2548,42,Male,Japan,22.57,3,146 days,0,Electronics,7.8,2023-08-13,69,0.18,67.71000000000001,Moderate Loyal,Medium,Medium|Loyal,False,2023,Low Risk,Moderate,Japan_Moderate,Japan|Electronics| Fraud:0,Low Loyal
CUST_6054,59,Female,USA,22.64,6,158 days,0,Sports,79.5,2022-12-17,11,0.25,135.84,Fraud,Low,Low|Loyal,False,2022,Low Risk,Low Rate,USA_Low Rate,USA|Sports| Fraud:0,Low Loyal
CUST_8339,60,Male,USA,22.68,13,87 days,0,Beauty,43.8,2021-08-30,3,0.32,294.84,Fraud,Low,Low|Loyal,False,2021,Medium Risk,Low Rate,USA_Low Rate,USA|Beauty| Fraud:0,Low Loyal
CUST_1125,35,Male,France,22.69,14,80 days,0,Fashion,78.8,2020-10-03,20,0.51,317.66,Low Loyal,Low,Low|Loyal,False,2020,Medium Risk,Low Rate,France_Low Rate,France|Fashion| Fraud:0,Low Loyal
CUST_4224,30,Male,Germany,22.69,8,306 days,0,Fashion,86.6,2023-01-20,10,0.33,181.52,Fraud,Low,Low|Loyal,False,2023,Medium Risk,Low Rate,Germany_Low Rate,Germany|Fashion| Fraud:0,Low Loyal
CUST_6393,19,Female,Canada,22.72,12,166 days,0,Sports,66.2,2024-06-19,71,0.05,272.64,Moderate Loyal,High,High|Loyal,False,2024,Low Risk,Moderate,Canada_Moderate,Canada|Sports| Fraud:0,Low Loyal
CUST_3969,29,Female,UK,22.75,9,86 days,0,Sports,22.3,2021-12-04,88,0.65,204.75,High Loyal,High,High|Loyal,False,2021,Medium Risk,High Rate,UK_High Rate,UK|Sports| Fraud:0,Low Loyal
